Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,30138.140625,30184.609375,29783.669922,29839.449219,29839.449219,1897154200
2019-04-12,29806.349609,29909.759766,29694.849609,29909.759766,29909.759766,1560692000
2019-04-15,30119.849609,30280.119141,29810.720703,29810.720703,29810.720703,2010638200
2019-04-16,29754.300781,30142.859375,29665.109375,30129.869141,30129.869141,2546181500
2019-04-17,30160.689453,30178.580078,30004.970703,30124.679688,30124.679688,2035147300
2019-04-18,30088.650391,30101.830078,29896.859375,29963.259766,29963.259766,1569930600
2019-04-23,29782.949219,30055.939453,29755.869141,29963.240234,29963.240234,2006226400
2019-04-24,30112.189453,30112.189453,29682.869141,29805.830078,29805.830078,1748986700
2019-04-25,29667.519531,29849.699219,29535.199219,29549.800781,29549.800781,1644483200
2019-04-26,29513.080078,29672.789063,29504.140625,29605.009766,29605.009766,1411001700
2019-04-29,29730.849609,29917.109375,29639.380859,29892.810547,29892.810547,1250717200
2019-04-30,29828.150391,29855.759766,29620.449219,29699.109375,29699.109375,1359023200
2019-05-02,29643.050781,29967.740234,29643.050781,29944.179688,29944.179688,1298906600
2019-05-03,29818.480469,30081.550781,29678.859375,30081.550781,30081.550781,1217388500
2019-05-06,29342.380859,29384.009766,28956.470703,29209.820313,29209.820313,2934065800
2019-05-07,29313.580078,29480.039063,29156.449219,29363.019531,29363.019531,1997665400
2019-05-08,28987.089844,29252.000000,28945.910156,29003.199219,29003.199219,2182802000
2019-05-09,28839.349609,28891.109375,28281.980469,28311.070313,28311.070313,2907223700
2019-05-10,28462.339844,28833.449219,28203.220703,28550.240234,28550.240234,2421480000
2019-05-14,27951.119141,28205.960938,27925.619141,28122.019531,28122.019531,2875261200
2019-05-15,28171.320313,28441.490234,28171.320313,28268.710938,28268.710938,2244890100
2019-05-16,28117.480469,28379.369141,28050.779297,28275.070313,28275.070313,2372367500
2019-05-17,28428.000000,28428.000000,27909.730469,27946.460938,27946.460938,1922181900
2019-05-20,27959.230469,27999.599609,27699.230469,27787.609375,27787.609375,2260468500
2019-05-21,27671.400391,27915.160156,27598.060547,27657.240234,27657.240234,2229189200
2019-05-22,27753.539063,27828.810547,27640.619141,27705.939453,27705.939453,1705803400
2019-05-23,27505.529297,27523.859375,27169.669922,27267.130859,27267.130859,2219416000
2019-05-24,27368.679688,27457.589844,27291.939453,27353.929688,27353.929688,1677043500
2019-05-27,27239.080078,27371.349609,27105.220703,27288.089844,27288.089844,1264256500
2019-05-28,27274.830078,27490.550781,27230.089844,27390.810547,27390.810547,3043711500
2019-05-29,27226.949219,27429.369141,27178.710938,27235.710938,27235.710938,2236869000
2019-05-30,27319.250000,27319.250000,27020.730469,27114.880859,27114.880859,1884022200
2019-05-31,27002.960938,27155.359375,26850.269531,26901.089844,26901.089844,1829465900
2019-06-03,26909.710938,26968.099609,26735.480469,26893.859375,26893.859375,1716241600
2019-06-04,26994.080078,26994.080078,26671.900391,26761.519531,26761.519531,1527666000
2019-06-05,27116.080078,27119.480469,26803.660156,26895.439453,26895.439453,1894174900
2019-06-06,26935.869141,26984.019531,26837.669922,26965.279297,26965.279297,1601926500
2019-06-10,27206.609375,27606.419922,27155.029297,27578.640625,27578.640625,2272329600
2019-06-11,27677.060547,27857.849609,27577.910156,27789.339844,27789.339844,1824700000
2019-06-12,27603.119141,27603.119141,27222.029297,27308.460938,27308.460938,1866884200
2019-06-13,27217.720703,27294.710938,26825.349609,27294.710938,27294.710938,1846303100
2019-06-14,27180.740234,27275.880859,27051.750000,27118.349609,27118.349609,2031083500
2019-06-17,27252.449219,27503.099609,27227.160156,27227.160156,27227.160156,1487266700
