Date,Open,High,Low,Close,Adj Close,Volume
2019-08-06,20325.519531,20607.830078,20110.759766,20585.310547,20585.310547,89700
2019-08-07,20548.070313,20570.189453,20406.519531,20516.560547,20516.560547,73600
2019-08-08,20529.289063,20682.240234,20462.980469,20593.349609,20593.349609,64800
2019-08-09,20758.150391,20782.060547,20676.919922,20684.820313,20684.820313,63700
2019-08-13,20432.679688,20503.380859,20369.269531,20455.439453,20455.439453,72900
2019-08-14,20669.990234,20697.419922,20581.169922,20655.130859,20655.130859,60900
2019-08-15,20324.250000,20419.880859,20184.849609,20405.650391,20405.650391,68200
2019-08-16,20323.970703,20465.710938,20300.349609,20418.810547,20418.810547,58400
2019-08-19,20590.470703,20633.900391,20502.660156,20563.160156,20563.160156,50600
2019-08-20,20605.349609,20684.060547,20582.009766,20677.220703,20677.220703,50100
2019-08-21,20489.970703,20626.050781,20482.619141,20618.570313,20618.570313,53000
2019-08-22,20706.070313,20731.189453,20584.289063,20628.009766,20628.009766,54600
2019-08-23,20579.980469,20719.310547,20579.980469,20710.910156,20710.910156,50700
2019-08-26,20325.439453,20329.009766,20173.759766,20261.039063,20261.039063,69900
2019-08-27,20467.220703,20529.939453,20439.919922,20456.080078,20456.080078,60800
2019-08-28,20474.310547,20511.210938,20433.310547,20479.419922,20479.419922,51500
2019-08-29,20500.500000,20520.679688,20361.119141,20460.929688,20460.929688,55100
2019-08-30,20641.490234,20748.349609,20633.300781,20704.369141,20704.369141,72000
2019-09-02,20625.750000,20667.560547,20614.289063,20620.189453,20620.189453,42400
2019-09-03,20581.580078,20662.230469,20578.019531,20625.160156,20625.160156,0
2019-09-04,20578.669922,20694.349609,20554.160156,20649.140625,20649.140625,51500
2019-09-05,20800.289063,21164.609375,20787.929688,21085.939453,21085.939453,83000
2019-09-06,21201.830078,21241.289063,21145.810547,21199.570313,21199.570313,71100
2019-09-09,21214.560547,21333.509766,21182.259766,21318.419922,21318.419922,57800
2019-09-10,21363.570313,21438.349609,21350.349609,21392.099609,21392.099609,92400
2019-09-11,21466.660156,21619.210938,21437.820313,21597.759766,21597.759766,110100
2019-09-12,21761.089844,21825.919922,21743.960938,21759.609375,21759.609375,96000
2019-09-13,21907.830078,22019.660156,21820.939453,21988.289063,21988.289063,116300
2019-09-17,21947.589844,22041.080078,21878.630859,22001.320313,22001.320313,81500
2019-09-18,22014.650391,22027.859375,21942.029297,21960.710938,21960.710938,69400
2019-09-19,22064.460938,22255.560547,22003.300781,22044.449219,22044.449219,78200
2019-09-20,22130.740234,22204.750000,22047.900391,22079.089844,22079.089844,85000
2019-09-24,22095.349609,22168.740234,22077.939453,22098.839844,22098.839844,68400
2019-09-25,21961.820313,22036.480469,21906.000000,22020.150391,22020.150391,61600
2019-09-26,22160.519531,22184.910156,21986.240234,22048.240234,22048.240234,81600
2019-09-27,21934.929688,21955.789063,21733.689453,21878.900391,21878.900391,76400
2019-09-30,21793.830078,21811.980469,21666.599609,21755.839844,21755.839844,69900
2019-10-01,21831.439453,21938.769531,21811.980469,21885.240234,21885.240234,62300
2019-10-02,21744.619141,21795.009766,21725.230469,21778.609375,21778.609375,63300
2019-10-03,21422.220703,21437.740234,21277.359375,21341.740234,21341.740234,67700
2019-10-04,21316.179688,21410.199219,21276.009766,21410.199219,21410.199219,57700
2019-10-07,21445.730469,21475.279297,21328.259766,21375.250000,21375.250000,47400
2019-10-08,21494.480469,21629.240234,21483.179688,21587.779297,21587.779297,60800
2019-10-09,21359.839844,21467.769531,21359.839844,21456.380859,21456.380859,55400
2019-10-10,21456.269531,21601.460938,21308.880859,21551.980469,21551.980469,59900
2019-10-11,21749.929688,21820.769531,21658.269531,21798.869141,21798.869141,67400
2019-10-15,22063.710938,22219.630859,22049.710938,22207.210938,22207.210938,74500
2019-10-16,22479.570313,22615.470703,22434.349609,22472.919922,22472.919922,78700
2019-10-17,22451.150391,22522.390625,22424.919922,22451.859375,22451.859375,57800
2019-10-18,22528.560547,22649.849609,22466.259766,22492.679688,22492.679688,59200
2019-10-21,22541.220703,22581.279297,22515.730469,22548.900391,22548.900391,48400
2019-10-23,22619.769531,22648.810547,22457.890625,22625.380859,22625.380859,68000
2019-10-24,22725.439453,22780.990234,22704.330078,22750.599609,22750.599609,61300
2019-10-25,22753.240234,22819.919922,22715.130859,22799.810547,22799.810547,57200
2019-10-28,22854.439453,22896.220703,22830.570313,22867.269531,22867.269531,48100
2019-10-29,22950.789063,23008.429688,22935.349609,22974.130859,22974.130859,72900
2019-10-30,22953.169922,22961.230469,22827.929688,22843.119141,22843.119141,101600
2019-10-31,22910.099609,22988.800781,22875.500000,22927.039063,22927.039063,78300
2019-11-01,22730.490234,22852.720703,22705.599609,22850.769531,22850.769531,65400
2019-11-05,23118.789063,23328.519531,23090.939453,23251.990234,23251.990234,102100
2019-11-06,23343.509766,23352.560547,23246.570313,23303.820313,23303.820313,77400
2019-11-07,23283.140625,23336.000000,23253.320313,23330.320313,23330.320313,70900
2019-11-08,23550.039063,23591.089844,23313.410156,23391.869141,23391.869141,94600
2019-11-11,23422.130859,23471.820313,23323.019531,23331.839844,23331.839844,61500
2019-11-12,23336.369141,23545.699219,23312.250000,23520.009766,23520.009766,63000
2019-11-13,23439.250000,23452.630859,23270.929688,23319.869141,23319.869141,63400
2019-11-14,23325.500000,23360.060547,23062.160156,23141.550781,23141.550781,79900
2019-11-15,23160.529297,23340.769531,23121.589844,23303.320313,23303.320313,72200
2019-11-18,23304.250000,23420.619141,23271.289063,23416.759766,23416.759766,57300
2019-11-19,23366.359375,23389.529297,23244.929688,23292.650391,23292.650391,64200
2019-11-20,23176.490234,23303.169922,23086.119141,23148.570313,23148.570313,65700
2019-11-21,23071.490234,23108.080078,22726.710938,23038.580078,23038.580078,69800
2019-11-22,23030.330078,23219.509766,23030.330078,23112.880859,23112.880859,55600
2019-11-25,23292.849609,23347.179688,23255.390625,23292.810547,23292.810547,50300
2019-11-26,23451.400391,23608.060547,23350.099609,23373.320313,23373.320313,94300
2019-11-27,23452.849609,23507.820313,23418.230469,23437.769531,23437.769531,52200
2019-11-28,23458.880859,23482.320313,23367.330078,23409.140625,23409.140625,44800
2019-11-29,23497.439453,23498.769531,23273.369141,23293.910156,23293.910156,52100
2019-12-02,23388.630859,23562.050781,23378.400391,23529.500000,23529.500000,47700
2019-12-03,23231.140625,23388.179688,23186.839844,23379.810547,23379.810547,58800
2019-12-04,23186.740234,23203.769531,23044.779297,23135.230469,23135.230469,58100
2019-12-05,23292.699219,23363.439453,23259.820313,23300.089844,23300.089844,61400
2019-12-06,23347.669922,23412.480469,23338.400391,23354.400391,23354.400391,54400
2019-12-09,23544.310547,23544.310547,23360.009766,23430.699219,23430.699219,55800
2019-12-10,23372.390625,23449.470703,23336.929688,23410.189453,23410.189453,52800
2019-12-11,23421.140625,23438.429688,23333.630859,23391.859375,23391.859375,61300
2019-12-12,23449.279297,23468.150391,23360.429688,23424.810547,23424.810547,56300
2019-12-13,23810.560547,24050.039063,23775.730469,24023.099609,24023.099609,115500
2019-12-16,23955.199219,24036.300781,23950.050781,23952.349609,23952.349609,53300
2019-12-17,24091.119141,24091.119141,23996.509766,24066.119141,24066.119141,64000
2019-12-18,24023.269531,24046.089844,23919.359375,23934.429688,23934.429688,66300
2019-12-19,23911.460938,23945.529297,23835.289063,23864.849609,23864.849609,55600
2019-12-20,23893.449219,23908.769531,23746.630859,23816.630859,23816.630859,70300
2019-12-23,23921.289063,23923.089844,23810.820313,23821.109375,23821.109375,45200
2019-12-24,23839.179688,23853.560547,23796.349609,23830.580078,23830.580078,37900
2019-12-25,23813.589844,23824.849609,23782.869141,23782.869141,23782.869141,31600
2019-12-26,23787.699219,23931.509766,23775.400391,23924.919922,23924.919922,40300
2019-12-27,23953.750000,23967.179688,23837.720703,23837.720703,23837.720703,44800
2019-12-30,23770.929688,23782.490234,23656.619141,23656.619141,23656.619141,41600
2020-01-06,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800
2020-01-07,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300
